POINT 16 64
POINT 16 80
POINT 16 96
POINT 16 112
POINT 16 128
POINT 16 144
POINT 16 160
POINT 16 176
POINT 16 368
POINT 16 384
POINT 16 400
POINT 16 416
POINT 16 464
POINT 16 480
POINT 16 496
POINT 16 512
POINT 416 64
POINT 416 80
POINT 416 96
POINT 416 112
POINT 416 128
POINT 416 144
POINT 416 160
POINT 416 176
POINT 416 368
POINT 416 384
POINT 416 400
POINT 416 416
POINT 416 464
POINT 416 480
POINT 416 496
POINT 416 512
POINT 32 64
POINT 48 64
POINT 64 64
POINT 80 64
POINT 96 64
POINT 112 64
POINT 128 64
POINT 144 64
POINT 160 64
POINT 176 64
POINT 192 64
POINT 240 64
POINT 256 64
POINT 272 64
POINT 288 64
POINT 304 64
POINT 320 64
POINT 400 64
POINT 384 64
POINT 368 64
POINT 352 64
POINT 336 64
POINT 336 80
POINT 336 96
POINT 336 112
POINT 336 128
POINT 336 144
POINT 336 160
POINT 336 176
POINT 336 192
POINT 336 208
POINT 336 224
POINT 336 240
POINT 336 256
POINT 336 272
POINT 336 288
POINT 336 304
POINT 336 320
POINT 336 336
POINT 336 352
POINT 336 368
POINT 336 384
POINT 336 400
POINT 336 416
POINT 336 432
POINT 336 448
POINT 96 80
POINT 96 96
POINT 96 112
POINT 96 128
POINT 96 144
POINT 96 160
POINT 96 176
POINT 96 192
POINT 96 208
POINT 96 224
POINT 96 240
POINT 96 256
POINT 96 272
POINT 96 288
POINT 96 304
POINT 96 320
POINT 96 336
POINT 96 352
POINT 96 368
POINT 96 384
POINT 96 400
POINT 96 416
POINT 96 432
POINT 96 448
POINT 32 128
POINT 48 128
POINT 64 128
POINT 80 128
POINT 112 128
POINT 128 128
POINT 144 128
POINT 160 128
POINT 176 128
POINT 192 128
POINT 240 128
POINT 256 128
POINT 272 128
POINT 288 128
POINT 304 128
POINT 320 128
POINT 208 128
POINT 224 128
POINT 400 128
POINT 384 128
POINT 368 128
POINT 352 128
POINT 32 176
POINT 48 176
POINT 64 176
POINT 80 176
POINT 112 176
POINT 128 176
POINT 144 176
POINT 160 176
POINT 176 176
POINT 192 176
POINT 240 176
POINT 256 176
POINT 272 176
POINT 288 176
POINT 304 176
POINT 320 176
POINT 400 176
POINT 384 176
POINT 368 176
POINT 352 176
POINT 192 80
POINT 192 96
POINT 192 112
POINT 240 80
POINT 240 96
POINT 240 112
POINT 32 512
POINT 48 512
POINT 64 512
POINT 80 512
POINT 96 512
POINT 112 512
POINT 128 512
POINT 144 512
POINT 160 512
POINT 176 512
POINT 192 512
POINT 240 512
POINT 256 512
POINT 272 512
POINT 288 512
POINT 304 512
POINT 320 512
POINT 208 512
POINT 224 512
POINT 400 512
POINT 384 512
POINT 368 512
POINT 352 512
POINT 336 512
POINT 32 464
POINT 48 464
POINT 64 464
POINT 80 464
POINT 96 464
POINT 144 464
POINT 160 464
POINT 176 464
POINT 192 464
POINT 240 464
POINT 256 464
POINT 272 464
POINT 288 464
POINT 400 464
POINT 384 464
POINT 368 464
POINT 352 464
POINT 336 464
POINT 48 448
POINT 48 432
POINT 384 448
POINT 384 432
POINT 32 416
POINT 48 416
POINT 112 416
POINT 128 416
POINT 144 416
POINT 160 416
POINT 176 416
POINT 192 416
POINT 240 416
POINT 256 416
POINT 272 416
POINT 288 416
POINT 304 416
POINT 320 416
POINT 400 416
POINT 384 416
POINT 144 160
POINT 144 144
POINT 288 160
POINT 288 144
POINT 240 496
POINT 192 496
POINT 240 480
POINT 192 480
POINT 144 448
POINT 288 448
POINT 144 432
POINT 288 432
POINT 240 400
POINT 192 400
POINT 240 384
POINT 192 384
POINT 32 368
POINT 48 368
POINT 64 368
POINT 80 368
POINT 112 368
POINT 128 368
POINT 144 368
POINT 160 368
POINT 176 368
POINT 192 368
POINT 240 368
POINT 256 368
POINT 272 368
POINT 288 368
POINT 304 368
POINT 320 368
POINT 352 368
POINT 368 368
POINT 384 368
POINT 400 368
